Model,Accuracy,Kappa,Sensitivity,Specificity,AUC
Logistic Regression,0.6666666666666666,0.33333333333333326,0.7083333333333334,0.625,0.8324652777777778
Decision Tree,0.7083333333333334,0.41666666666666674,0.7916666666666666,0.625,0.7864583333333333
